frequency,avgNoisy,avgData,postFiltering
122.8,237.56253,17.981354,20.488878
123.0,241.47131,17.375696,19.469229
123.200005,240.72113,17.614471,20.57116
123.4,244.04094,18.06542,17.716179
123.6,243.13255,17.98223,17.44159
123.8,247.30377,17.497473,20.683002
124.0,244.60483,17.517609,19.90081
124.200005,239.69226,17.215765,19.958733
124.4,238.06316,16.132423,19.044899
124.6,243.02937,16.362787,18.099634
124.8,242.3031,16.145103,17.192343
125.0,237.05223,16.370787,15.944989
125.200005,242.64624,16.825388,16.540428
125.4,243.50325,17.461294,19.847483
125.6,238.34595,17.552732,19.558632
125.8,239.77423,17.338799,17.927755
126.0,241.84698,17.173252,18.00376
126.200005,238.41406,17.290253,19.098635
126.4,244.86377,17.293667,18.62959
126.6,236.96648,17.549614,18.523502
126.8,236.14227,16.917843,18.52027
127.0,236.56314,17.282352,17.590849
127.200005,240.55252,17.413065,18.36436
127.4,244.479,17.567127,20.795046
127.6,240.53943,17.946184,19.948683
127.8,240.20587,17.119564,18.563887
128.0,236.87444,16.309189,18.808752
128.2,239.38928,16.127274,15.704904
128.40001,244.1235,16.713694,18.642784
128.6,239.17502,17.11467,18.453594
128.8,237.78333,17.299042,16.767824
129.0,239.8029,17.009336,19.332521
129.2,244.62799,16.632353,21.059912
129.40001,240.37158,16.567904,18.17834
129.6,239.66528,16.984726,18.146633
129.8,241.7946,16.932848,16.816603
130.0,237.39969,16.866879,16.69285
130.2,234.15323,16.715273,16.000948
130.40001,238.32425,16.332611,16.792698
130.6,242.23087,15.976375,16.36299
130.8,233.86252,16.484146,16.78369
131.0,239.65335,17.111933,16.718115
131.2,238.30286,16.67075,15.287067
131.40001,242.85864,16.43096,19.766935
131.6,238.67746,16.256742,16.116144
131.8,240.17471,15.802501,16.75947
132.0,238.437,15.795537,15.062248
132.2,246.19421,16.234768,16.74232
132.40001,241.55919,15.925548,15.127603
132.6,241.78241,15.56501,15.160295
132.8,240.26836,15.5719385,15.644916
133.0,238.91858,15.687437,16.792318
133.2,240.36429,15.853867,18.154943
133.40001,239.62318,16.101305,17.90458
133.6,239.43376,15.96658,16.918703
133.8,239.62263,15.882721,17.172134
134.0,235.757,15.779846,15.915315
134.2,238.20149,15.291549,15.899919
134.40001,238.04404,15.509653,17.490808
134.6,245.54372,15.266962,16.855331
134.8,245.38145,15.131508,15.294002
135.0,241.66833,15.216852,15.58389
135.2,245.46457,15.931161,15.965968
135.40001,244.89143,16.235891,16.614515
135.6,243.1692,15.696073,18.248552
135.8,241.88448,15.34941,18.94524
136.0,239.78333,15.216286,15.022517
136.2,245.27948,15.101926,15.665484
136.40001,242.58946,15.540334,17.263653
136.6,245.8247,15.540936,16.92075
136.8,242.91527,15.094386,16.593801
137.0,243.38074,14.921262,16.33849
137.2,247.35504,14.874629,17.328108
137.40001,250.6149,15.553916,16.697947
137.6,245.134,15.471736,16.99211
137.8,242.45876,15.019223,15.500859
138.0,241.21909,14.849522,16.546448
138.2,243.68256,14.692702,14.800521
138.40001,244.87985,14.674639,16.308311
138.6,238.46704,15.058941,14.263567
138.8,243.38083,15.118989,16.35777
139.0,250.44131,14.662136,15.348002
139.2,248.95886,14.742484,16.213587
139.40001,245.96347,14.567051,17.161644
139.6,246.45993,14.132726,14.393835
139.8,244.10406,14.572001,15.902206
140.0,243.7532,14.710082,15.054006
